"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39031","Coshocton County, Ohio",2018,1.5,1.2,1.7,1.8
"39041","Delaware County, Ohio",2018,0.4,0.4,0.4,0.5
"39055","Geauga County, Ohio",2018,0.8,0.5,0.7,0.8
"39073","Hocking County, Ohio",2018,1.1,1.2,2,1.6
"39085","Lake County, Ohio",2018,0.4,0.4,0.6,0.6
"39141","Ross County, Ohio",2018,1,1,1.5,1.8
"39035","Cuyahoga County, Ohio",2018,0.3,0.2,0.3,0.3
"39075","Holmes County, Ohio",2018,2.1,0.8,1.1,2
"39109","Miami County, Ohio",2018,0.8,0.8,1.2,1
"39111","Monroe County, Ohio",2018,2.2,1.8,2.5,2.5
"39155","Trumbull County, Ohio",2018,0.5,0.5,0.7,0.9
"39173","Wood County, Ohio",2018,0.6,0.6,0.7,1
"39005","Ashland County, Ohio",2018,1.1,0.9,1.2,2.1
"39105","Meigs County, Ohio",2018,1.8,1.8,2.1,3
"39021","Champaign County, Ohio",2018,1.1,1.3,1.8,1.8
"39057","Greene County, Ohio",2018,0.5,0.6,0.7,0.9
"39087","Lawrence County, Ohio",2018,1.1,1.3,1.8,1.8
"39115","Morgan County, Ohio",2018,1.8,1.2,2.9,3.1
"39175","Wyandot County, Ohio",2018,1.3,1.1,1.6,1.5
"39043","Erie County, Ohio",2018,0.9,0.9,1.2,1.3
"39091","Logan County, Ohio",2018,1.1,0.9,1.5,2
"39153","Summit County, Ohio",2018,0.3,0.3,0.4,0.5
"39149","Shelby County, Ohio",2018,1,0.8,1.2,1.3
"39171","Williams County, Ohio",2018,1.2,1,1.5,1.9
"39029","Columbiana County, Ohio",2018,0.8,0.8,1.1,1.1
"39051","Fulton County, Ohio",2018,0.9,1,1.3,1.3
"39053","Gallia County, Ohio",2018,2.4,1.4,2.4,3.2
"39099","Mahoning County, Ohio",2018,0.4,0.5,0.8,0.8
"39145","Scioto County, Ohio",2018,1.1,1.1,1.6,1.7
"39117","Morrow County, Ohio",2018,1.8,1.1,1.8,2.1
"39135","Preble County, Ohio",2018,1,0.7,1.6,1.3
"39003","Allen County, Ohio",2018,0.7,0.8,1.1,1.1
"39033","Crawford County, Ohio",2018,0.9,1.1,1.5,1.6
"39059","Guernsey County, Ohio",2018,1.6,1.3,1.9,2.2
"39107","Mercer County, Ohio",2018,1,0.7,1.2,1.3
"39023","Clark County, Ohio",2018,0.7,0.7,0.8,1.1
"39093","Lorain County, Ohio",2018,0.5,0.5,0.5,0.7
"39113","Montgomery County, Ohio",2018,0.3,0.4,0.5,0.6
"39165","Warren County, Ohio",2018,0.4,0.4,0.5,0.6
"39007","Ashtabula County, Ohio",2018,0.9,0.8,1.2,1.7
"39105","Meigs County, Ohio",2019,2,1.6,2,2.3
"39021","Champaign County, Ohio",2019,1,1.1,1.5,1.6
"39057","Greene County, Ohio",2019,0.5,0.5,0.7,0.8
"39087","Lawrence County, Ohio",2019,1.2,1.1,1.9,1.8
"39115","Morgan County, Ohio",2019,2.2,1.1,3.1,3
"39175","Wyandot County, Ohio",2019,1.1,0.8,1.5,1.2
"39043","Erie County, Ohio",2019,0.7,0.9,1.1,1.3
"39091","Logan County, Ohio",2019,1,0.8,1.5,1.7
"39153","Summit County, Ohio",2019,0.3,0.3,0.5,0.5
"39149","Shelby County, Ohio",2019,1.1,1,1.2,1.4
"39171","Williams County, Ohio",2019,1.3,1,1.6,1.8
"39029","Columbiana County, Ohio",2019,0.8,0.7,1.1,1.4
"39051","Fulton County, Ohio",2019,1,0.9,1.2,1.2
"39053","Gallia County, Ohio",2019,2,1.4,2.3,3
"39099","Mahoning County, Ohio",2019,0.4,0.5,0.7,0.8
"39145","Scioto County, Ohio",2019,1.2,1.2,1.7,1.9
"39117","Morrow County, Ohio",2019,1.7,1,1.7,2
"39135","Preble County, Ohio",2019,1,0.6,1.3,1.3
"39003","Allen County, Ohio",2019,0.8,0.7,0.9,1
"39033","Crawford County, Ohio",2019,1,1.1,1.6,1.5
"39059","Guernsey County, Ohio",2019,1.3,1,1.7,2.1
"39107","Mercer County, Ohio",2019,0.9,0.6,1.3,1.2
"39023","Clark County, Ohio",2019,0.6,0.6,1,1
"39093","Lorain County, Ohio",2019,0.5,0.5,0.6,0.7
"39113","Montgomery County, Ohio",2019,0.4,0.3,0.5,0.6
"39165","Warren County, Ohio",2019,0.4,0.4,0.5,0.5
"39007","Ashtabula County, Ohio",2019,1,0.8,1.2,1.8
"39159","Union County, Ohio",2019,0.8,0.4,1.1,1.3
"39131","Pike County, Ohio",2019,2.1,1.4,3.3,2.7
"39125","Paulding County, Ohio",2019,1.4,1.1,1.5,1.7
"39061","Hamilton County, Ohio",2019,0.3,0.3,0.4,0.4
"39049","Franklin County, Ohio",2019,0.3,0.2,0.3,0.4
"39101","Marion County, Ohio",2019,1.1,1.1,1.7,1.6
"39157","Tuscarawas County, Ohio",2019,1.1,0.7,1.4,1.4
"39169","Wayne County, Ohio",2019,0.7,0.5,0.9,1.3
"39015","Brown County, Ohio",2019,1.3,0.9,1.3,1.8
"39017","Butler County, Ohio",2019,0.5,0.4,0.6,0.6
"39067","Harrison County, Ohio",2019,1.9,1.5,2.5,2.5
"39083","Knox County, Ohio",2019,1.1,1,1.3,2
"39089","Licking County, Ohio",2019,0.6,0.5,1,0.9
"39139","Richland County, Ohio",2019,0.8,0.7,1.1,1.2
"39163","Vinton County, Ohio",2019,3.2,2.2,3.6,3.4
"39019","Carroll County, Ohio",2019,1.6,1.3,1.8,2.1
"39063","Hancock County, Ohio",2019,0.8,0.6,1.2,1.4
"39025","Clermont County, Ohio",2019,0.6,0.5,0.6,0.8
"39045","Fairfield County, Ohio",2019,0.5,0.5,0.9,0.9
"39039","Defiance County, Ohio",2019,1.1,0.9,1.4,1.5
"39071","Highland County, Ohio",2019,1.4,1.2,1.9,2
"39069","Henry County, Ohio",2019,1,1,1.6,1.4
"39081","Jefferson County, Ohio",2019,0.8,0.9,1.2,1.7
"39133","Portage County, Ohio",2019,0.6,0.6,1,1
"39137","Putnam County, Ohio",2019,1,0.8,1.2,1.4
"39013","Belmont County, Ohio",2019,0.9,1,1.2,1.2
"39027","Clinton County, Ohio",2019,1.2,1,1.8,1.8
"39047","Fayette County, Ohio",2019,1.5,1.1,2.2,2.2
"39127","Perry County, Ohio",2019,1.4,1.4,2.5,2.5
"39129","Pickaway County, Ohio",2019,1.3,0.9,1.5,1.6
"39097","Madison County, Ohio",2019,1.2,1.1,1.5,1.4
"39119","Muskingum County, Ohio",2019,0.9,0.9,1.3,1.3
"39143","Sandusky County, Ohio",2019,0.9,0.9,1.3,1.2
"39161","Van Wert County, Ohio",2019,1.1,0.8,1.5,1.7
"39167","Washington County, Ohio",2019,1.1,0.8,1.4,1.4
"39011","Auglaize County, Ohio",2019,1,0.6,1.1,1.4
"39037","Darke County, Ohio",2019,0.9,0.7,1.1,1.3
"39123","Ottawa County, Ohio",2019,1.1,0.8,1.2,1.4
"39065","Hardin County, Ohio",2019,1.5,1,2,2.3
"39079","Jackson County, Ohio",2019,2.2,1.9,2.2,2.6
"39077","Huron County, Ohio",2019,1.2,0.8,1.3,1.4
"39009","Athens County, Ohio",2019,1,1,1.3,1.4
"39001","Adams County, Ohio",2019,2.3,1.4,2.5,2.8
"39103","Medina County, Ohio",2019,0.4,0.4,0.5,0.6
"39095","Lucas County, Ohio",2019,0.4,0.4,0.6,0.7
"39121","Noble County, Ohio",2019,2.3,2.2,2.6,3.6
"39041","Delaware County, Ohio",2019,0.5,0.3,0.4,0.6
"39147","Seneca County, Ohio",2019,0.9,0.8,1.6,1.4
"39151","Stark County, Ohio",2019,0.4,0.4,0.5,0.6
"39031","Coshocton County, Ohio",2019,1.6,1.1,1.8,1.8
"39055","Geauga County, Ohio",2019,0.6,0.4,0.8,0.8
"39073","Hocking County, Ohio",2019,1.5,1.1,2.5,2.2
"39085","Lake County, Ohio",2019,0.5,0.4,0.6,0.6
"39141","Ross County, Ohio",2019,1,0.9,1.7,1.6
"39035","Cuyahoga County, Ohio",2019,0.2,0.2,0.3,0.3
"39075","Holmes County, Ohio",2019,2.4,0.8,1.1,2.2
"39109","Miami County, Ohio",2019,0.8,0.9,1.1,1.1
"39111","Monroe County, Ohio",2019,2.2,1.6,2.3,3
"39155","Trumbull County, Ohio",2019,0.5,0.5,0.7,0.9
"39173","Wood County, Ohio",2019,0.6,0.8,0.8,0.8
"39005","Ashland County, Ohio",2019,1.1,0.8,1.3,2.3
